status,credit_history,purpose,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,duration,amount,age,credit_risk
2,4,1,0,4,3,2,0,3,3,2,2,0,2,1,0,1,42,4796,56,1
1,2,3,0,4,3,1,0,3,2,2,1,0,2,1,1,1,24,1967,20,1
3,3,3,0,3,1,2,0,3,2,2,1,1,2,1,1,1,60,15653,21,1
2,2,2,0,1,3,1,0,0,1,0,1,0,3,1,1,1,12,1474,33,1
3,0,9,0,2,1,2,0,1,2,1,1,1,2,0,0,1,18,4165,36,0
0,2,2,0,2,1,2,2,2,1,2,1,0,1,0,0,1,12,708,38,1
3,4,0,0,2,3,2,0,3,2,2,1,2,2,1,1,1,9,2134,48,1
0,0,1,0,4,2,2,0,3,3,2,2,1,2,0,0,1,48,4605,24,0
3,2,3,1,3,3,3,0,2,1,2,1,0,2,1,1,1,24,1311,26,1
0,3,3,0,1,3,1,0,1,2,2,0,0,1,1,1,1,24,1659,29,0
3,4,3,1,2,0,1,0,0,1,2,1,1,2,1,0,1,6,1237,27,1
3,2,6,4,4,0,2,0,3,0,2,1,0,1,1,0,1,9,3832,64,1
0,2,2,0,2,0,1,0,3,0,2,0,0,2,1,0,1,18,2039,20,0
0,4,0,0,4,2,2,1,3,1,2,0,1,2,1,1,1,12,4843,43,0
1,3,9,4,4,3,2,0,1,1,2,1,1,2,1,0,1,18,2427,42,1
3,4,3,0,2,1,1,0,1,2,2,1,1,2,1,0,1,18,2404,26,1
0,4,0,0,4,3,2,0,3,0,2,1,1,1,1,0,1,8,713,47,1
3,2,1,4,2,0,2,0,2,2,2,1,0,2,1,0,1,21,5248,26,1
0,2,2,0,3,3,1,0,3,0,2,0,0,2,1,0,1,30,2406,23,0
0,1,9,0,3,1,1,2,3,2,2,0,0,2,1,0,1,48,7685,37,0
3,2,0,1,4,3,3,0,3,0,2,0,0,1,1,0,1,24,1469,41,1
0,2,1,0,4,1,2,0,3,3,2,2,0,2,0,0,1,36,5493,42,1
0,2,5,0,1,0,0,0,0,3,0,1,0,1,1,1,1,30,11998,34,0
0,4,9,1,3,3,2,0,0,0,2,1,1,2,1,1,1,24,1382,26,1
3,3,9,2,1,3,2,0,1,0,0,1,0,1,0,0,1,21,2580,41,0
1,2,9,1,3,1,1,0,3,0,2,0,0,1,1,0,1,12,841,23,1
3,4,3,0,3,1,2,0,0,0,2,1,2,1,0,0,1,4,1544,42,1
3,4,2,4,2,1,3,0,0,2,2,1,1,2,1,0,0,10,2069,26,1
0,0,2,0,1,0,1,0,3,1,2,0,0,2,1,0,1,18,3114,26,0
3,4,0,0,3,0,1,0,0,0,2,1,0,2,0,0,1,4,3380,37,1
3,4,0,1,3,3,1,0,2,2,2,1,1,2,1,1,1,12,682,51,1
0,0,3,0,2,3,2,0,1,1,2,0,1,2,1,1,1,12,6199,28,0
1,2,2,0,3,1,1,0,3,0,2,0,0,2,1,0,1,18,3001,40,1
1,0,9,4,2,1,2,0,1,2,0,1,0,3,1,1,1,48,12204,48,1
3,2,3,2,3,3,1,0,0,2,2,1,0,2,1,0,1,24,1376,28,1
3,4,0,0,3,3,2,0,3,2,2,1,1,2,1,1,1,36,3535,37,1
3,0,3,0,4,3,3,0,3,2,2,1,0,1,1,0,1,6,426,39,1
0,2,2,0,1,3,1,0,3,0,2,0,0,1,1,1,1,24,3234,23,0
1,2,0,4,3,0,1,0,1,2,2,1,0,2,1,0,1,48,8487,24,1
3,2,0,4,3,3,1,0,3,1,2,0,0,2,1,0,1,22,1283,25,1
0,4,0,0,2,2,2,0,1,0,2,0,1,1,0,0,0,12,2122,39,1
0,2,0,4,3,1,2,1,1,0,2,1,0,1,1,0,0,21,3763,24,1
3,2,0,3,3,1,1,0,2,2,2,0,0,2,1,0,1,15,3186,20,1
2,2,0,0,3,3,2,0,2,3,0,2,0,2,0,0,1,24,947,38,0
0,2,2,0,2,0,2,0,1,0,0,1,0,1,1,1,1,6,1374,36,1
3,4,6,4,3,3,1,0,1,2,2,1,0,2,1,0,1,12,2012,61,1
3,4,3,0,3,3,1,0,3,2,2,0,0,3,1,1,1,30,4530,26,1
3,4,0,3,4,3,2,0,3,0,2,1,0,2,1,1,1,24,1940,60,1
3,4,2,4,4,3,2,0,3,1,2,1,0,2,1,0,1,15,1520,63,1
0,4,3,2,4,3,2,0,3,2,2,1,1,2,1,0,1,6,338,52,1
1,2,0,1,2,1,2,0,1,2,2,1,1,2,1,1,1,18,5866,30,1
1,2,1,0,4,3,1,0,1,3,2,2,0,3,1,1,1,24,12579,44,0
1,4,2,0,1,1,1,0,3,2,0,1,0,1,1,0,1,24,4736,25,0
1,3,2,0,0,2,1,0,1,1,2,1,0,3,1,1,1,24,2064,34,0
3,3,1,0,2,3,3,0,3,0,2,0,0,2,1,0,1,12,1503,41,1
0,4,2,4,1,1,1,1,2,0,2,0,1,2,1,0,0,10,2132,27,1
3,4,2,0,1,1,1,0,3,1,2,0,1,2,1,1,1,36,7127,23,0
0,2,2,0,2,1,1,0,3,2,2,0,0,2,1,0,1,12,1282,20,0
0,2,0,0,3,3,1,0,3,2,2,0,1,2,1,0,1,24,1442,23,0
0,4,0,0,1,0,2,0,2,0,2,0,1,1,0,0,0,10,2241,48,1
3,2,0,4,2,3,2,0,3,3,2,2,0,2,0,1,1,60,6527,34,1
2,2,2,4,4,2,1,0,3,0,2,1,0,3,1,1,1,12,1424,55,1
1,3,9,0,2,1,0,0,1,0,1,1,1,3,1,1,1,36,4455,30,0
1,2,3,0,2,1,2,0,1,0,2,1,0,1,0,0,1,9,2118,37,1
3,4,0,0,4,2,2,0,3,0,2,1,1,1,0,0,0,10,1231,32,1
1,2,2,1,1,3,1,0,3,2,0,0,3,2,1,0,1,12,951,27,0
0,2,0,4,4,3,1,0,1,2,0,1,0,2,1,0,1,24,915,29,0
0,2,2,0,1,0,1,0,3,2,2,0,0,2,1,0,1,18,3650,22,1
0,2,2,0,3,1,2,2,3,1,2,2,0,2,0,0,1,42,7882,45,1
0,2,2,0,3,0,1,0,3,2,2,0,0,1,1,0,1,21,3599,26,1
3,2,3,0,1,3,2,0,0,0,2,1,0,2,1,0,1,18,2051,33,1
3,4,6,2,4,3,2,0,1,2,2,1,1,2,1,1,1,9,936,52,1
0,2,0,0,3,1,2,1,2,1,2,1,0,2,1,1,1,24,4817,31,0
1,3,0,4,4,3,2,0,3,2,2,1,0,2,0,0,1,18,2899,43,1
3,2,3,4,1,3,1,0,1,0,2,0,0,2,1,1,1,18,1126,21,1
1,2,3,2,0,0,1,0,3,3,2,0,0,0,1,0,1,24,3758,23,1
3,4,0,0,3,0,2,0,2,3,2,1,1,3,0,1,1,6,6761,45,1
0,2,2,0,2,3,2,2,0,1,2,1,0,1,1,0,1,12,1289,21,1
3,4,3,4,4,3,2,0,1,2,2,1,0,2,1,1,1,36,3342,51,1
1,1,6,3,1,3,1,0,1,1,0,0,0,2,0,0,1,6,433,24,0
0,2,2,0,2,0,2,2,1,1,2,1,0,2,0,0,1,36,3620,37,1
2,4,6,0,1,1,0,0,0,2,2,0,0,2,1,0,1,21,2319,33,0
3,2,1,2,2,3,2,0,3,2,2,1,0,2,1,0,1,39,2569,24,1
3,4,6,4,1,1,2,0,0,1,2,1,1,1,0,0,1,12,3565,37,1
0,1,2,2,2,3,2,0,3,0,1,1,0,2,1,1,1,24,2828,22,1
3,2,9,3,2,1,2,0,2,1,2,1,2,3,1,1,1,24,4591,54,0
3,4,0,4,4,0,1,0,3,2,2,1,0,2,1,1,1,15,5045,59,1
1,2,3,2,2,3,1,0,2,0,2,1,0,1,1,0,1,9,790,66,1
3,3,0,0,2,3,2,0,1,2,2,1,1,1,1,0,1,14,802,27,1
1,4,3,0,1,3,2,0,1,1,0,1,1,1,1,0,1,45,4746,24,0
3,2,2,0,2,1,2,0,1,0,2,0,0,1,1,0,1,10,2210,25,0
2,2,2,0,2,1,2,0,0,0,2,1,0,1,0,0,1,18,2864,34,0
3,4,0,1,3,3,3,0,2,1,2,1,1,2,1,1,1,24,2463,27,1
1,2,0,4,0,0,1,0,1,0,2,0,0,0,1,0,1,12,7472,24,1
3,4,2,4,2,0,3,0,1,1,2,1,1,2,1,0,1,6,1221,27,1
1,2,3,0,3,3,2,0,3,2,2,0,0,2,1,0,1,36,2323,24,1
0,4,0,0,2,3,3,2,1,1,0,0,1,2,1,0,0,20,2235,33,0
0,2,6,4,2,3,1,0,3,1,0,0,0,2,1,1,1,12,1200,23,1
0,4,0,0,1,1,2,0,3,0,2,1,0,1,0,0,0,6,1361,40,1
3,4,3,0,2,3,2,0,1,0,2,1,1,1,1,0,1,24,2684,35,1
1,2,3,4,3,3,2,0,0,2,2,1,1,2,0,1,1,48,3979,41,1
3,4,2,0,1,3,1,0,3,1,2,1,0,2,1,1,1,21,2288,23,1
3,3,9,0,2,0,2,0,1,3,2,2,0,2,1,0,1,24,3863,32,1
1,4,0,0,0,1,2,0,2,2,2,2,2,0,1,1,1,16,1175,68,1
1,4,3,0,2,3,3,0,1,2,2,1,0,2,1,0,1,18,1245,33,0
3,4,3,4,4,3,1,0,2,1,2,1,0,1,0,0,1,12,797,33,0
3,3,0,4,4,3,3,0,3,2,2,1,1,2,1,1,1,24,717,54,1
0,2,2,0,4,3,2,0,1,2,2,1,0,2,0,0,1,36,3446,42,0
0,4,0,0,4,1,2,2,3,1,2,0,0,2,1,1,0,16,2625,43,0
3,4,0,1,2,3,1,0,3,2,2,1,1,1,1,0,1,6,362,52,1
0,0,2,0,2,1,0,2,1,0,2,1,1,2,1,0,1,30,4583,32,1
3,4,3,0,3,1,2,0,0,0,2,1,1,1,0,0,1,4,1503,42,1
0,2,2,1,0,0,0,0,0,1,2,1,0,2,1,0,1,24,2359,33,0
1,4,0,4,4,3,2,0,3,0,2,1,1,2,1,0,1,30,2181,36,1
3,2,1,0,2,1,2,0,1,3,2,2,0,3,1,1,1,36,4686,32,1
1,4,6,0,1,1,1,0,3,3,2,2,1,2,1,1,1,24,5743,24,1
3,2,9,3,4,3,1,0,3,0,0,1,0,1,1,0,1,21,1572,36,1
3,4,9,4,4,3,0,0,1,2,0,1,1,3,0,0,1,48,7629,46,1
3,4,1,4,2,3,2,0,1,2,2,1,0,3,1,1,1,36,11054,30,1
0,1,2,2,2,3,2,0,3,0,1,1,0,2,1,1,1,24,2483,22,1
3,2,3,4,4,3,2,0,1,2,2,1,0,2,1,0,1,15,1979,35,1
3,2,9,0,3,1,2,0,3,2,2,1,0,2,1,1,1,12,1542,36,1
2,2,2,0,1,1,1,0,3,2,2,1,0,2,1,0,1,24,3749,26,1
3,2,8,4,0,3,2,0,3,1,2,1,0,3,0,1,1,6,1238,36,1
0,4,2,0,2,0,0,0,3,0,2,0,0,3,1,1,1,6,3384,44,0
3,4,3,4,4,3,1,0,1,0,2,1,1,2,1,1,1,12,1240,38,1
3,4,1,4,0,1,2,0,3,3,2,1,0,3,1,1,1,18,3229,38,1
3,4,9,0,2,2,1,0,1,0,2,1,1,2,1,0,1,12,1185,27,1
0,4,5,0,0,3,2,1,3,2,2,1,1,0,1,0,1,42,3394,65,1
3,2,3,0,1,2,1,0,0,0,2,1,0,2,1,0,1,18,1453,26,1
0,2,2,3,4,3,1,0,3,1,2,0,1,2,1,1,1,30,3622,57,1
3,4,1,4,4,3,2,0,2,2,2,1,1,2,0,1,1,48,2751,38,1
3,3,1,0,2,2,2,0,1,0,1,1,1,1,1,0,1,21,2993,28,1
0,2,2,0,0,2,1,0,3,3,2,2,0,3,1,0,1,12,2578,55,1
0,4,2,0,1,3,1,0,3,1,2,0,0,2,1,0,1,18,1049,21,1
3,1,9,0,3,3,2,0,3,2,0,1,0,2,1,1,1,24,1559,40,1
2,4,2,4,4,3,2,1,3,3,2,0,1,2,1,0,1,24,3617,20,1
2,4,3,4,3,3,2,0,1,1,2,1,1,2,1,1,1,10,1347,27,1
3,2,3,0,0,2,1,1,3,0,2,0,0,2,1,0,1,18,433,22,0
2,2,3,0,2,1,1,0,1,2,2,0,0,1,1,1,1,12,1881,44,1
3,2,3,4,1,3,2,0,1,2,2,1,1,2,1,0,1,24,3105,25,1
3,2,3,0,1,2,2,0,1,2,2,1,0,2,1,1,1,18,4594,32,1
2,2,3,0,2,2,3,0,3,0,2,0,0,2,1,0,1,12,1297,23,1
3,4,3,0,1,2,3,0,2,3,2,2,2,2,1,1,1,24,5103,47,1
3,2,2,1,2,3,2,0,0,2,1,1,0,2,1,0,1,24,5511,25,1
3,2,3,0,2,3,3,0,1,0,2,1,0,2,1,0,1,12,776,28,1
3,2,0,0,2,2,3,0,1,0,2,1,1,2,1,1,1,12,1101,27,1
0,2,2,0,2,1,2,1,2,2,2,1,0,2,1,0,1,18,4153,42,0
1,4,0,1,1,3,2,0,0,2,2,1,0,2,1,0,1,12,1995,27,1
1,3,0,1,4,1,2,0,3,2,1,1,3,3,1,1,1,36,8086,42,0
3,4,0,0,1,3,1,0,0,1,2,1,1,2,1,0,1,18,1055,30,1
3,2,1,0,4,3,2,0,3,2,2,1,0,3,1,1,1,24,2670,35,1
1,2,1,0,0,2,1,0,3,3,2,2,0,3,1,1,1,18,12976,38,0
3,3,0,0,4,3,2,0,3,3,2,2,1,2,1,1,1,24,2032,60,1
3,2,2,2,2,1,1,0,3,2,2,0,0,2,1,0,1,15,2221,20,1
3,2,2,0,2,2,2,0,3,0,2,1,0,2,1,1,1,18,2515,43,1
0,1,8,0,4,3,3,0,0,2,0,1,0,1,1,0,1,12,339,45,1
3,4,3,0,4,3,2,0,3,2,2,1,1,2,1,1,1,15,1829,46,1
3,2,0,1,2,2,2,0,1,0,2,0,0,1,1,0,0,10,1418,35,1
3,2,3,4,2,3,1,0,3,2,2,1,0,2,1,0,1,36,2394,25,1
