status,credit_history,purpose,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,duration,amount,age,credit_risk
1,0,10,1,4,2,4,0,3,0,2,2,1,2,0,1,0,60,6836,63,0
3,1,7,1,1,1,0,0,0,1,2,1,0,2,0,0,0,21,2319,33,0
0,3,2,3,2,1,4,0,3,2,2,1,0,2,0,0,0,6,1236,50,1
0,2,1,0,2,0,1,0,3,2,0,2,1,2,0,1,0,21,5003,29,0
0,3,4,0,2,3,1,0,1,1,2,2,0,2,0,0,0,12,886,21,1
1,3,1,1,3,3,1,0,3,1,2,1,1,2,0,0,0,24,1442,23,0
0,3,3,3,2,0,4,0,1,1,2,2,0,2,0,1,0,6,2978,32,1
1,3,3,2,0,0,0,0,0,2,2,2,0,2,0,0,0,24,2359,33,0
1,3,3,0,2,1,2,0,3,1,2,2,0,2,0,0,0,24,2996,20,0
0,1,3,1,1,2,0,0,1,1,2,2,1,3,0,1,0,18,3780,35,1
0,3,6,0,4,3,4,0,3,2,2,2,3,2,1,1,0,27,5190,48,1
2,3,4,1,1,3,1,0,0,0,2,2,0,3,0,1,0,36,4795,30,1
1,4,1,1,1,3,4,0,1,1,0,2,1,2,0,1,0,12,697,46,0
0,2,10,1,2,1,4,0,1,1,1,2,1,2,1,0,0,18,4165,36,0
1,3,1,1,0,0,4,0,3,0,2,0,0,2,0,0,0,14,3973,22,1
0,1,7,2,2,3,1,0,1,3,2,2,1,2,0,0,0,18,1864,30,0
3,1,7,1,2,1,1,0,3,2,2,2,0,1,0,0,0,6,1047,50,1
0,3,4,1,0,2,1,1,3,3,2,1,0,2,0,0,0,18,433,22,0
2,3,7,0,2,1,2,0,1,1,2,2,0,2,0,0,0,36,3711,27,1
2,3,4,1,4,3,1,0,3,3,2,2,0,2,0,0,0,9,1206,25,1
0,3,3,4,2,3,0,0,1,3,2,2,0,2,0,0,0,6,1543,33,1
0,1,1,1,3,0,1,0,0,3,2,2,0,2,1,0,0,4,3380,37,1
3,3,4,3,2,2,1,0,2,1,2,2,0,1,0,0,0,24,1258,57,1
0,3,4,2,2,3,1,1,1,3,2,2,0,2,0,0,0,12,2073,28,1
1,3,4,1,1,3,1,0,3,2,2,1,0,3,0,1,0,21,2606,28,1
0,1,7,1,3,1,4,0,2,3,2,2,0,1,1,0,0,12,2096,49,1
0,1,1,1,4,3,4,0,3,3,2,2,1,1,0,0,0,12,1255,61,1
0,3,5,1,1,0,1,0,3,3,2,1,0,2,0,1,0,9,1236,23,1
0,3,4,1,4,3,4,0,0,3,2,2,0,3,0,1,0,24,1278,36,1
1,3,1,0,0,3,1,0,2,2,2,2,0,3,0,1,0,6,1374,75,1
3,3,1,1,1,0,4,2,0,2,2,2,0,1,1,0,0,10,3949,37,1
0,3,1,0,4,3,4,0,2,1,2,2,0,2,0,1,0,12,2390,50,1
2,3,1,1,1,3,4,0,0,2,2,2,0,2,0,0,0,24,1201,26,1
0,1,3,1,3,1,1,1,2,1,0,2,1,2,0,0,0,15,2788,24,1
0,1,10,0,4,3,4,0,3,0,2,1,0,1,0,0,0,12,1264,57,1
1,3,3,1,2,1,4,0,1,1,1,2,0,2,0,0,0,24,4020,27,1
0,3,1,3,4,1,4,0,3,0,2,0,0,1,0,0,0,9,2507,51,1
0,3,4,3,4,2,4,0,1,1,0,2,1,2,0,1,0,24,2397,35,0
2,3,10,1,2,3,4,0,1,1,2,2,0,2,1,1,0,27,3915,36,0
0,1,2,2,2,1,1,0,3,1,0,1,1,1,0,0,0,48,11590,24,0
1,3,3,1,3,1,4,2,3,2,2,0,0,2,1,0,0,42,7882,45,1
0,1,1,1,4,3,4,0,0,3,2,2,1,1,1,0,0,12,1495,38,1
0,3,1,0,1,3,4,0,0,2,2,2,0,2,0,0,0,24,2255,54,1
2,3,1,0,1,3,4,0,1,3,2,2,0,0,0,0,0,9,1549,35,1
0,3,2,0,3,1,1,0,3,2,1,1,0,1,0,0,0,30,4811,24,1
2,3,10,3,4,0,2,0,1,3,2,2,0,2,0,1,0,14,1410,35,1
0,3,10,1,3,0,4,0,3,3,2,2,0,1,0,0,0,5,3448,74,1
2,0,4,1,3,1,4,0,3,2,2,2,0,2,0,0,0,11,4771,51,1
1,3,4,1,4,2,4,0,3,3,2,2,0,1,0,0,0,10,2315,52,1
1,3,2,1,3,3,4,0,2,2,2,2,0,2,1,0,0,48,4788,26,1
0,3,10,2,2,2,1,0,3,2,2,1,0,1,0,0,0,18,1568,24,1
0,4,4,2,4,3,4,0,3,1,0,2,0,1,1,0,0,15,1569,34,1
1,1,7,1,2,3,4,0,2,0,0,2,0,2,0,1,0,40,5998,27,0
0,1,4,0,2,3,4,0,2,2,2,2,1,2,0,1,0,18,1169,29,1
2,3,1,1,4,0,0,0,0,3,2,1,1,2,0,0,0,12,1223,46,0
1,3,3,4,2,3,4,0,1,1,2,2,0,2,0,0,0,18,2659,28,1
0,1,4,0,4,3,4,0,3,0,2,0,1,2,0,0,0,6,700,36,1
0,3,2,2,2,0,4,1,1,3,2,2,0,2,1,0,0,10,2848,32,1
1,3,4,1,1,2,1,0,3,2,2,1,0,2,0,0,0,9,1366,22,0
0,3,7,0,2,1,4,0,3,0,2,0,0,1,1,1,0,36,9055,35,1
1,3,4,1,2,1,4,0,3,3,2,1,0,1,1,0,0,24,1987,21,0
1,3,2,1,2,2,4,2,3,0,0,2,0,2,1,1,0,24,2924,63,1
2,3,10,2,2,3,4,0,3,1,2,2,0,2,0,0,0,18,2622,34,1
0,1,10,0,4,3,4,0,3,3,2,2,1,2,0,0,0,36,6304,36,1
0,0,4,1,2,3,4,0,1,1,2,2,1,3,0,1,0,36,4463,26,0
0,3,10,0,4,2,4,0,1,2,2,2,1,2,0,0,0,36,7409,37,1
0,0,1,0,4,3,2,0,3,1,2,2,1,2,0,1,0,24,717,54,1
1,3,3,0,3,3,4,0,3,1,2,2,0,2,0,1,0,20,2212,39,1
1,4,3,1,2,3,4,0,2,1,0,2,0,2,0,0,0,18,1553,44,0
2,3,2,1,0,2,1,0,3,0,2,0,0,3,0,1,0,18,12976,38,0
0,1,4,1,4,1,4,0,1,0,2,2,1,2,0,0,0,12,1934,26,1
1,1,3,3,2,0,1,0,3,1,2,2,1,2,0,0,0,33,4281,23,0
1,1,1,1,4,1,4,2,3,2,0,1,0,2,0,1,0,16,2625,43,0
1,1,1,4,3,2,1,0,3,3,2,2,1,1,0,1,0,6,666,39,1
0,3,2,2,3,2,1,0,3,1,2,2,0,2,0,0,0,24,3488,23,1
2,1,1,1,0,3,2,0,1,1,2,2,1,3,0,0,0,30,5234,28,0
0,1,4,1,2,0,1,0,0,1,2,2,1,2,0,1,0,6,1382,28,1
0,3,3,1,2,3,1,0,1,1,2,2,0,3,0,1,0,36,3349,28,0
0,3,4,3,4,3,4,0,2,2,1,2,0,2,0,1,0,15,1213,47,1
2,3,1,2,1,3,1,0,1,2,0,2,0,1,0,0,0,12,836,23,0
1,3,3,1,2,3,4,2,0,2,2,2,0,1,0,0,0,12,1289,21,1
0,1,3,1,1,1,1,0,3,2,2,1,1,1,0,0,0,12,1258,22,1
1,3,4,1,4,0,4,2,2,2,2,2,0,2,1,0,0,30,2522,39,1
0,3,10,1,2,1,2,0,1,3,2,2,0,2,0,1,1,12,1076,26,1
0,3,4,0,4,1,1,0,3,3,2,2,0,1,0,1,0,36,3835,45,1
