num_of_prev_attempts,weight,weighted_score,forumng_click,homepage_click,oucontent_click,resource_click,subpage_click,url_click,dataplus_click,glossary_click,oucollaborate_click,quiz_click,ouelluminate_click,sharedsubpage_click,questionnaire_click,page_click,externalquiz_click,ouwiki_click,dualpane_click,folder_click,repeatactivity_click,htmlactivity_click,code_module,gender,region,highest_education,imd_band,age_band,studied_credits,disability,final_result
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,6,3,1,0,3,0,0
1,0.0,0.0,38.0,10.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5,2,5,0,3,0,0
0,100.0,63.49,28.0,122.0,18.0,54.0,70.0,25.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,10,2,4,1,1,0,1
0,12.5,80.0,69.0,53.0,74.0,6.0,32.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,5,0,5,1,0,0,2,0,0
0,16.0,73.0,26.0,39.0,146.0,4.0,6.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4,0,6,2,8,1,0,0,0
0,200.0,90.2,162.0,364.0,1357.0,119.0,150.0,13.0,0.0,0.0,9.0,1345.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,9,2,9,0,1,0,1
0,192.0,72.53125,70.0,70.0,151.0,51.0,47.0,7.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,3,2,5,0,0,0,1
0,100.0,67.0,201.0,380.0,1931.0,30.0,316.0,25.0,11.0,0.0,2.0,743.0,0.0,0.0,30.0,12.0,0.0,19.0,1.0,0.0,0.0,5.0,5,1,6,2,0,0,1,0,1
0,175.0,63.85714285714285,33.0,114.0,111.0,18.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,10,2,8,0,3,0,1
0,100.0,76.4,82.0,112.0,675.0,4.0,28.0,9.0,0.0,0.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,4,0,7,1,7,0,1,0,0
0,38.0,73.8157894736842,0.0,57.0,5.0,25.0,23.0,2.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,6,3,4,0,1,0,0
0,200.0,47.8825,474.0,373.0,99.0,29.0,66.0,42.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,3,1,9,2,8,0,1,0,1
0,100.0,71.0,469.0,704.0,1015.0,43.0,382.0,20.0,8.0,0.0,32.0,1139.0,0.0,0.0,3.0,4.0,0.0,11.0,1.0,0.0,0.0,3.0,5,1,4,1,3,0,1,0,1
1,16.0,62.0,49.0,45.0,70.0,0.0,12.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,10,1,2,0,3,1,0
0,75.0,76.66666666666667,15.0,53.0,416.0,16.0,60.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5,0,2,2,3,0,1,0,0
0,0.0,89.44444444444444,21.0,47.0,109.0,3.0,4.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,6,2,6,0,0,0,1
0,200.0,87.675,11.0,210.0,17.0,30.0,105.0,2.0,0.0,0.0,6.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,2,2,0,3,0,1
